Отчет по материалам [по назначению],,,,,,,,,
"Материал.ГОСТ Содержит ""гост""
Отбор: Параметры: ШиринаКолонкиИзображения=0; ПериодЦены=01.01.0001 0:00:00; ",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Отбор:,"Материал.ГОСТ Содержит ""гост""",,,,,,,,
,,,,,,,,,
Родитель,,,,,,,,,Итого
№ в группе,Материал,,,Наименование мир,,ГОСТ,Материал.Цена,Материал.Цена.Вид заготовки,Количество
 1. Углеродистая (нелегир),,,,,,,,,115
38,27ХГР,,,30MnB4,,ГОСТ 4543-2016,,,1
39,30Х,,,30Cr,,ГОСТ 4543-2016,,,1
40,30ХР,,,,,ГОСТ 4543-2016,,,1
41,33ХС,,,34CrSi6,,ГОСТ 4543-2016,,,1
42,35ГС,,,ZG35SiMn,,ГОСТ 34028-2016,,,1
43,35Х,,,35Cr,,ГОСТ 4543-2016,,,1
44,35ХГР,,,,,ГОСТ 4543-2016,,,1
45,40Г1Р,,,38MnB5 ,,ГОСТ 4543-2016,,,1
46,40ГР,,,40MnB,,ГОСТ 4543-2016,,,1
47,40Х,,,40Cr,,ГОСТ 4543-2016,4.90,Лист,1
48,40Х,,,40Cr,,ГОСТ 4543-2016,4.30,Прокат,1
49,40Х,,,40Cr,,ГОСТ 4543-2016,5.00,Труба,1
50,40Х,,,40Cr,,ГОСТ 4543-2016,6.50,Поковка,1
51,45Х,,,45Cr,,ГОСТ 4543-2016,7.50,Поковка,1
52,50Х,,,50Cr,,ГОСТ 4543-2016,10.00,Поковка,1
53,55Ф,,,SM55,,ГОСТ Р 51220-98,,,1
54,60С2,,,60Si2Mn,,ГОСТ 14959-2016,,,1
55,75Г2Ф,,,Q420B,,ГОСТ 4543-2016,,,1
56,9Г2С,,,12Mn,,ГОСТ 19281-2014,,,1
57,C255,,,S235,,ГОСТ 27772-2021,,,1
58,Powerweld 690,,,НЕТ,,ГОСТ 27772-2021,,,1
59,ОХН1М,,,38CrNiMoA,,ГОСТ 4543‑2016,14.00,Поковка,1
60,С245,,,Q235,,ГОСТ 27772-2021,,,1
61,С255 ,,,S235,,ГОСТ 27772-2021,,,1
62,С345,,,16Mn,,ГОСТ 27772-2021,,,1
63,С390,,,CPM S35 VN,,ГОСТ 27772-2021,,,1
64,С500,,,Hardox 500,,ГОСТ 34286-2017,,,1
 3. Среднелегированная,,,,,,,,,166
1,07Х3ГНМЮА,,,НЕТ,,ГОСТ 4543-2016,,,1
2,10Г2ФБЮ,,,Q420C,,ГОСТ 19281-2014,,,1
3,10Х2М1,,,12Cr2Mo1,,ГОСТ 10885-85,,,1
4,12Х1МФ,,,12Cr1MoV,,ГОСТ 20072-74,,,1
5,12Х2Н4А,,,12Cr2Ni4,,ГОСТ 4543-2016,17.00,Поковка,1
6,12Х2Н4А,,,12Cr2Ni4,,ГОСТ 4543-2016,,,1
7,12Х8ВФ,,,12Cr1MoV,,ГОСТ 20072-74,,,1
8,12ХН2,,,12CrNi2,,ГОСТ 4543-2016,,,1
9,12ХН3А,,,12CrNi3,,ГОСТ 4543-2016,,,1
10,13ХГН2МФД,,,20CrNiMo,,ГОСТ ТУ,,,1
11,13ХФА,,,15CrV,,ГОСТ 4543-2016,,,1
12,14Х2ГМР,,,30CrMnSiNi2A,,ГОСТ 4543-2016,17.00,Поковка,1
13,15Н2М,,,G46150,,ГОСТ 4543-2016,,,1
14,15Х2ГМФ,,,НЕТ,,ГОСТ 4543-2016,,,1
15,15Х2НМФА,,,НЕТ,,ГОСТ ТУ,,,1
16,15Х5,,,12CrMo44,,ГОСТ 20072-74,,,1
17,15Х5ВФ,,,12CrMo44,,ГОСТ 20072-74,,,1
18,15Х5М,,,10MoCr50,,ГОСТ 20072-74,,,1
