"Номенклатура","Чертеж","Заказчик, сокр","Количество","ГП вес, кг","Материал","Цена подачи","Цена подачи за кг","Мин цена подачи за кг","Менеджер","Тендер Дата выхода тендера, Статус","Итоговый вес","Минимальная цена закупа за кг."
"Бандаж горизонтального валка ч.УРБС КО-1705","УРБС КО-1705","Мечел","28.000","1,796","ТШХНМц-60","48,600.00","27.06","27.06","Жуков Евгений Александрович","13.10.2025, Подались","50,288","13,50"
"Бандаж горизонтального валка ч.УРБС КО-1777","УРБС КО-1777","Мечел","5.000","1,906","ТШХНМц-60","51,600.00","27.07","27.07","Жуков Евгений Александрович","13.10.2025, Подались","9,530","13,50"
"Бандаж горизонтального валка ч.УРБС КО-1704","УРБС КО-1704","Мечел","2.000","2,091","ТШХНМц-60","56,600.00","27.07","27.07","Жуков Евгений Александрович","13.10.2025, Подались","4,182","13,50"
"Бандаж горизонтального валка ч.УРБС КО-1703","УРБС КО-1703","Мечел","27.000","2,386","ТШХНМц-60","64,600.00","27.07","27.07","Жуков Евгений Александрович","13.10.2025, Подались","64,422","13,50"
"Бандаж горизонтального валка ч.УРБС КО-443-2","УРБС КО-443-2","Мечел","14.000","2,532","ТШХНМц-60","68,600.00","27.09","27.09","Жуков Евгений Александрович","13.10.2025, Подались","35,448","13,50"
"Барабан","","","","","","","","","","","2,541.16","20,03"
"Барабан с валом ч.СК 3456.00.000 СБ","СК 3456.00.000 СБ","ИСО ООО","3.000","72.45","СБ","4,015.00","55.42","40.30","Зырянов Олег Юрьевич","06.08.2025, Подались","217.35","20,15"
"Барабан с валом ч.ЦА014.00.000 СБ","ЦА014.00.000 СБ","ИСО ООО","1.000","113.81","СБ","6,270.00","55.09","35.15","Зырянов Олег Юрьевич","06.08.2025, Подались","113.81","20,03"
"Барабан отжимной (вал №14) ч.ОС18-10-00 СБ","ОС18-10-00 СБ","СЛПК","1.000","1,105","СБ","112,000.00","101.36","84.16","Баяндин Олег Николаевич","14.03.2025, Отказ от сделки","1,105","41,19"
"Барабан отжимной (вал №14) ч.ОС18-10-00 СБ","ОС18-10-00 СБ","СЛПК","1.000","1,105","СБ","220,000.00","199.10","199.10","Лебедев Николай Леонидович","24.09.2025, Подались","1,105","108,60"
"Блок","","","","","","","","","","","1,024","30,00"
"Блок верхнего догибочного валка на трубу ч.ЗТЗ-10.21-1.3.52.00.00 СБ","ЗТЗ-10.21-1.3.52.00.00 СБ","ЗТЗ","1.000","1,024","","68,000.00","66.41","66.41","Левичев Никита Сергеевич","15.10.2025, Подались","1,024","30,00"
"Болт","","","","","","","","","","","644","30,00"
"Болт М42х4,5 170(С) конический с овальной головкой","Эскиз","АО ГРК ЗАПАДНАЯ","230.000","2.8","20ХН3А","128.00","45.71","45.71","Власов Михаил Дмитриевич","09.09.2025, Проиграли","644","30,00"
"Бочка","","","","","","","","","","","207,175",""
"Бочка валка обжимного стана ч.4841.00.00А","4841.00.00А","СинТЗ","3.000","663","45","18,500.00","27.90","27.90","Ряхимов Али Рафикович","08.09.2023, Выиграли частично","37,791",""
"Бочка валка прошивного стана","б/н","Киберсталь","4.000","1,500","50Г2","65,000.00","43.33","43.33","Лебедев Николай Леонидович","01.01.2025, Отменен","6,000","21,33"
"Бочка валка прошивного стана","б/н","Киберсталь","4.000","1,500","50Г2","65,000.00","43.33","43.33","Лебедев Николай Леонидович","10.01.2025, Проиграли","6,000","21,33"
"Бочка валка ч.23240.01","23240.01","Уральская сталь","3.000","2,280","45","59,273.42","26.00","26.00","Давлетмурзаев Амирсултан Адильсултанович","06.05.2024, Проиграли","6,840","13,16"
"Бочка валка ч.147925-5А-3","147925-5А-3","ЧТПЗ","2.000","2,500","45","84,240.00","33.70","28.70","Лебедев Станислав Артурович","07.04.2025, Отменен","5,000","12,48"
"Бочка валка ч.147925-5А-3","147925-5А-3","ЧТПЗ","2.000","2,500","45","84,375.00","33.75","26.83","Лебедев Станислав Артурович","19.08.2025, Проиграли","5,000","12,48"
"Бочка валка ч.147925-5А-5","147925-5А-5","ЧТПЗ","","2,500","45","","","","","13.01.2023, Не участвовали","5,000",""
