"Номенклатура","Чертеж","Заказчик, сокр","Количество","ГП вес, кг","Материал","Цена подачи","Цена подачи за кг","Мин цена подачи за кг","Менеджер","Тендер Дата выхода тендера, Статус","Итоговый вес","Минимальная цена закупа за кг."
"Вал шестерня ч.ПГМЕ.721631.002","ПГМЕ.721631.002","Волга","2.000","84","38Х2МЮА","8,159.68","97.14","97.14","Диденко Виталий Тимофеевич","04.02.2025, Проиграли","168","47,62"
"Вал шпинделя ч.09.03.31-04-001/1","09.03.31-04-001/1","Амурсталь","6.000","84","40Х","7,343.06","87.42","87.42","Дверник Лев Сергеевич","03.08.2025, Проиграли","504","50,00"
"Вал промежуточный РКП-4,5 ч.77994 СБ","77994 СБ","ПМХ","8.000","84.5","СБ","10,299.54","121.89","121.89","Диденко Виталий Тимофеевич","17.10.2024, Проиграли","676","50,00"
"Вал шлицевой ч.Л5-194.02.00","Л5-194.02.00","АВИСМА ВСМПО","3.000","85.7","40Х","5,600.00","65.34","47.84","Жуков Евгений Александрович","30.09.2025, Подались","257.1","31,51"
"Вал приводного колеса ч.14-3.11-574.01","14-3.11-574.01","ОЭМК","1.000","85.94","40Х","5,623.42","65.43","65.43","Давлетмурзаев Амирсултан Адильсултанович","16.01.2024, Выиграли","85.94","41,80"
"Вал шестерня редуктора калибр.стана,клети 2,4,6,8 ч.2-130480","2-130480","ЧТПЗ","2.000","86","20ХН3А","22,750.00","264.53","264.53","Лебедев Станислав Артурович","17.03.2025, Отменен","172","75,58"
"Вал шестерня ч.2-130481","2-130481","ЧТПЗ","2.000","86","20ХН3А","22,750.00","264.53","264.53","Лебедев Станислав Артурович","17.03.2025, Отменен","172","75,58"
"Вал шпиндельный ч.35379.00.002","35379.00.002","ПРОМСОРТ","4.000","86.49","Ст.35","7,795.85","90.14","87.82","Диденко Виталий Тимофеевич","10.07.2025, Отменен","345.96","45,00"
"Вал шпиндельный ч.35379.00.002","35379.00.002","ПРОМСОРТ","4.000","86.49","Ст.35","7,933.50","91.73","79.74","Диденко Виталий Тимофеевич","08.09.2025, Подались","345.96","44,75"
"Вал шестерня ч.6863-46.1602.135","6863-46.1602.135","ЕВРАЗ Качканарский ГОК","1.000","86.5","34ХН1М","7,780.00","89.94","89.94","Григорян Саркис Владимирович","04.06.2025, Выиграли","86.5","33,53"
"Вал пустотелый JW-KSR 1531.6014 ч.1/7738080","1/7738080","БМЗ","2.000","87","42CrMo4","9,222.00","106.00","106.00","Солнышкин Дмитрий Сергеевич","22.04.2025, Проиграли","174","53,00"
"Вал ходового колеса ч.16-0062-ДМ-016","16-0062-ДМ-016","ОЭМК","1.000","87","40ХН","9,258.94","106.42","54.82","Максутов Бектурсун Абдилнабиевич","14.08.2024, Проиграли","87",""
"Вал шестерня ч.ОВИО 10.А2.1-34.00.003","ОВИО 10.А2.1-34.00.003","КАМА ТД","1.000","87","12ХН3А","6,200.00","71.26","71.26","Ряхимов Али Рафикович","28.12.2023, Выиграли частично","87",""
"Вал шлицевой ч.ПТЛ 01122023.001","ПТЛ 01122023.001","ММК","","87","45","","","","Максутов Бектурсун Абдилнабиевич","14.01.2025, Не участвовали","348",""
"Вал ходового колеса ч.ФП-0234.01","ФП-0234.01","СГМК","8.000","87.4","45","4,455.00","50.97","50.97","Левичев Никита Сергеевич","05.12.2024, Проиграли","699.2","15,45"
"Вал шестерня ч.4110.85.05","4110.85.05","Северсталь","1.000","87.4","35ХГН","5,800.00","66.36","66.36","Омаров Сайпудин Мурадович","13.05.2024, Отменен","87.4","41,19"
"Вал шестерня ч.4110.86.02","4110.86.02","Северсталь","1.000","87.5","38ХГН","5,800.00","66.29","66.29","Омаров Сайпудин Мурадович","13.05.2024, Отменен","87.5","41,14"
"Вал левый ч.1787-58","1787-58","БМК","2.000","88","18Х2Н4ВА","15,312.00","174.00","174.00","Диденко Виталий Тимофеевич","20.08.2025, Проиграли","176","100,00"
"Вал правый ч.1787-57","1787-57","БМК","2.000","88","18Х2Н4ВА","15,312.00","174.00","174.00","Диденко Виталий Тимофеевич","20.08.2025, Проиграли","176","100,00"
"Вал ч.12587-00","12587-00","ИСО ООО","4.000","88","40Х","4,840.00","55.00","30.80","Зырянов Олег Юрьевич","06.08.2025, Подались","352","14,00"
"Вал шестерня ч.СР-503-2","СР-503-2","Вторресурс-Переработка","2.000","88.6","40Х","3,684.28","41.58","41.58","Максутов Бектурсун Абдилнабиевич","16.04.2024, Выиграли частично","177.2",""
"Вал приводного колеса ч.1Б1-506-1410","1Б1-506-1410","Красный октябрь Корпорация","8.000","89","45","3,750.00","42.13","37.64","Жуков Евгений Александрович","13.12.2024, Проиграли","712","21,57"
"Вал ч.А.04.29-580-470.1.1","А.04.29-580-470.1.1","СТЗ","2.000","89","45","2,736.30","30.74","30.74","Лебедев Станислав Артурович","20.07.2023, Выиграли","178",""
"Вал карданный ч.05875002","05875002","НЛМК","2.000","90","СБ","15,000.00","166.67","79.11","Солнышкин Дмитрий Сергеевич","17.03.2025, Проиграли","180","42,50"
"Вал мешалки УПВ-1А ч.XVI-9-155.01","XVI-9-155.01","Троицкая Бумажная Фабрика","1.000","90","20Х13","4,992.17","55.47","55.47","Магомедова Эльмира Гасановна","29.01.2025, Проиграли","90","20,48"
"Вал ч.В-25452.600.007","В-25452.600.007","КЗОЦМ","2.000","90","ХН70ВМЮТ","18,000.00","200.00","200.00","Зырянов Олег Юрьевич","03.02.2025, Выиграли","180","108,89"
"Вал ведомый нижний JW-KSR 1531.6024 ч.1/7738040","1/7738040","БМЗ","2.000","91","42CrMo4","9,646.00","106.00","106.00","Солнышкин Дмитрий Сергеевич","22.04.2025, Проиграли","182","53,00"
"Вал ведущий JW-KSR 1531.6023 ч.1/7738040","1/7738040","БМЗ","2.000","91","42CrMo4","9,646.00","106.00","106.00","Солнышкин Дмитрий Сергеевич","22.04.2025, Проиграли","182","53,00"
"Вал ч.2476-00-00","2476-00-00","Кузбассэнерго","1.000","91","40Х","10,000.00","109.89","109.89","Ряхимов Али Рафикович","23.01.2025, Проиграли","91","36,26"
"Вал 2Тр-365-1 ч.ЧУ.01.001","ЧУ.01.001","Красный октябрь Корпорация","2.000","91.3","40Х","3,250.00","35.60","33.95","Жуков Евгений Александрович","13.12.2024, Проиграли","182.6","17,20"
"Вал полый ч.17-2056-97","17-2056-97","ОЭМК","4.000","91.7","38ХМ","6,040.00","65.87","65.87","Ряхимов Али Рафикович","28.06.2023, Выиграли","366.8","43,62"
"Вал насоса ч.А3.РЗ-6054.00.01","А3.РЗ-6054.00.01","Апатит","3.000","92","40Х","3,064.74","33.31","33.31","Диденко Виталий Тимофеевич","06.02.2024, Выиграли","276","14,86"
"Вал шестерня ч.010.0832.05","010.0832.05","Крымский Содовый Завод","1.000","92","20ХН3А","7,000.00","76.09","76.09","Диденко Виталий Тимофеевич","15.07.2025, Проиграли","92","38,59"
"Вал шестерня ч.3014.55.002","3014.55.002","ИСО ООО","2.000","92","40Х","15,180.00","165.00","165.00","Левичев Никита Сергеевич","13.08.2024, Выиграли частично","184",""
"Вал ч.31-02-03-262.02.001","31-02-03-262.02.001","ПРОМСОРТ","2.000","92.03","40ХН2МА","6,202.61","67.40","67.40","Диденко Виталий Тимофеевич","03.02.2025, Отменен","184.06","31,59"
"Вал приводной ч.К-1726","К-1726","ТАГМЕТ","4.000","92.3","45","3,600.00","39.00","39.00","Морев И.В.","08.05.2024, Проиграли","369.2","19,50"
"Вал шлицевой ч.262361","262361","ЗЭМЗ ТД","4.000","92.4","45","2,352.00","25.45","25.45","Омаров Сайпудин Мурадович","22.08.2024, Проиграли","369.6","9,09"
"Вал газодувки ч.КО/ПУ 08-180.00.01","КО/ПУ 08-180.00.01","Кемерово","1.000","92.5","12Х18Н10Т","25,000.00","270.27","205.41","Лебедев Николай Леонидович","06.05.2025, Выиграли","92.5","50,81"
"Вал шлицевой ч.0301001-5139.00.00","0301001-5139.00.00","ВМЗ","1.000","92.84","40Х","7,700.00","82.94","82.94","Солнышкин Дмитрий Сергеевич","09.02.2024, Выиграли","92.84","32,31"
"Вал верхний ч.19/82-2 СБ","19/82-2 СБ","РУСАЛ УРАЛ","10.000","93","СБ","5,714.29","61.44","61.44","Левичев Никита Сергеевич","24.01.2025, Проиграли","930","35,83"
"Вал промежуточный II ч.1304004-0104.01.00","1304004-0104.01.00","ВМЗ","1.000","93.1","СБ","11,100.00","119.23","119.23","Солнышкин Дмитрий Сергеевич","27.07.2023, Выиграли","93.1","59,08"
"Вал приводного колеса ч.0010И.014.600.02","0010И.014.600.02","ПРОМСОРТ","1.000","93.4","40Х","3,946.06","42.25","42.25","Диденко Виталий Тимофеевич","04.02.2025, Отменен","93.4","17,13"
"Вал приводного барабана ч.РПК-ЛК-№5-6","РПК-ЛК-№5-6","Полиметалл","3.000","94","40Х","4,230.77","45.01","45.01","Хусаева Патимат Халидовна","18.04.2025, Отменен","282","9,97"
"Вал ч.1689/XII д.ц.","1689/XII д.ц.","Надеждинский МЗ","1.000","94","45","5,700.00","60.64","53.19","Зырянов Олег Юрьевич","14.04.2025, Проиграли","94","25,00"
"Вал ч.1079-40-00-007","1079-40-00-007","ИСО ООО","3.000","94.22","45","8,244.25","87.50","26.75","Коновалов Данила Евгеньевич","07.08.2025, Подались","282.66","12,00"
"Вал шестерня ч.М1-10/70-32","М1-10/70-32","УРАЛХИМ ОХК филиал ВМУ","3.000","94.5","34ХН1М","7,300.00","77.25","77.25","Власов Михаил Дмитриевич","31.07.2025, Проиграли","283.5","42,33"
"Вал выходной ч.1304004-0105.02.00 СБ","1304004-0105.02.00 СБ","ВМЗ","4.000","95","40Х","7,344.00","77.31","77.31","Солнышкин Дмитрий Сергеевич","06.07.2023, Выиграли","380","33,68"
"Вал приводной верхний JW-KSR 1531.6012 ч.1/7738050","1/7738050","БМЗ","2.000","95","42CrMo4","10,070.00","106.00","106.00","Солнышкин Дмитрий Сергеевич","22.04.2025, Проиграли","190","53,00"
"Вал ч.236-6-3","ч.236-6-3","ЧТПЗ","2.000","95","40Х","6,000.00","63.16","63.16","Ряхимов Али Рафикович","16.04.2024, Проиграли","190","24,74"
"Вал ч.3-445877","3-445877","КраМЗ","1.000","95","45","7,315.00","77.00","77.00","Коновалов Данила Евгеньевич","09.04.2025, Проиграли","95","35,00"
"Вал ч.ЛПК 4.946584.Р-М3","ЛПК 4.946584.Р-М3","ВМЗ","2.000","95.3","40Х","11,495.00","120.62","120.62","Солнышкин Дмитрий Сергеевич","23.10.2023, Выиграли","190.6",""
"Вал ч.В2-530 L=1800","В2-530","СинТЗ","4.000","96","30ХГСА","9,577.50","99.77","99.77","Лебедев Станислав Артурович","12.08.2024, Проиграли","384","39,91"
"Вал шестерня ч.14-1364084","14-1364084","ЯМЗ","1.000","96","35ХМ","5,700.00","59.38","59.38","Лебедев Николай Леонидович","19.11.2023, Выиграли","96","22,92"
"Вал ч.Ст.250.038.К","Ст.250.038.К","ПРОМСОРТ","4.000","97.3","40Х","3,414.40","35.09","33.50","Диденко Виталий Тимофеевич","08.09.2025, Подались","389.2","15,95"
"Вал ч.22-1377838Н1","22-1377838Н1","ЯМЗ","1.000","97.5","45","4,915.30","50.41","50.41","Лебедев Станислав Артурович","30.09.2023, Выиграли","97.5","25,33"
"Вал ч.0602002-1635.00.00","0602002-1635.00.00","ВМЗ","2.000","98","45","4,500.00","45.92","45.92","Солнышкин Дмитрий Сергеевич","09.09.2024, Проиграли","196","19,77"
"Вал ч.19143","19143","Мальцовский Портландцемент","4.000","98","45","3,846.15","39.25","39.25","Лебедев Николай Леонидович","05.05.2023, Выиграли","392","26,51"
"Вал шестерня ч.Ф42.1613.196","Ф42.1613.196","ИСО ООО","4.000","98","40ХН","5,500.00","56.12","56.12","Левичев Никита Сергеевич","06.08.2025, Подались","392","30,00"
"Вал ч.М880-9/1","М880-9/1","Москокс","10.000","98.6","Ст. 5","5,512.19","55.90","55.90","Диденко Виталий Тимофеевич","13.02.2025, Выиграли частично","986","21,30"
"Вал промежуточный Ø290 ч.CLC8CB271M8350DLZ","CLC8CB271M8350DLZ","НЛМК","3.000","99","СБ","5,800.00","58.59","58.59","Солнышкин Дмитрий Сергеевич","20.05.2025, Проиграли","297","30,30"
"Вал промежуточный ч.К-1812","К-1812","ТАГМЕТ","4.000","99","45","1,769.23","17.87","17.87","Валитов Рамиль Амирханович","28.02.2023, Выиграли","396","10,92"
